SN,ENG,FRENCH
1,abide,respecter
2,about,sur
3,above,au dessus
4,abroad,à l'étranger
5,absence,absence
6,abuse,abuser de
7,according,selon
8,account,Compte
9,accuse,accuser
10,acquainted,connaissance
11,action,action
12,advantage,avantage
13,advice,Conseil
14,affairs,affaires
15,affection,affection
16,affections,affections
17,afraid,peur
18,after,après
19,afterwards,ensuite
20,again,encore
21,alive,vivant
22,almost,presque
23,alone,seul
24,along,le long de
25,already,déjà
26,although,bien que
27,always,toujours
28,ambition,ambition
29,ancient,ancien
30,angel,ange
31,anger,colère
32,another,un autre
33,answer,répondre
34,anything,n'importe quoi
35,apparel,vêtements
36,appear,apparaître
37,appears,apparaît
38,approach,approche
39,argument,argument
40,ariel,Ariel
41,armour,armure
42,aside,de côté
43,asleep,endormi
44,assure,assurer
45,athens,Athènes
46,attend,assister
47,attended,assisté
48,authority,autorité
49,avoid,éviter
50,awake,éveillé
51,awhile,quelque temps
52,banish,bannir
53,barren,Dénudé
54,bassianus,bassianus
55,bastard,Connard
56,battle,bataille
57,beard,barbe
58,bearing,palier
59,bears,ours
60,beast,la bête
61,beaten,battu
62,beauty,beauté
63,because,car
64,become,devenir
65,bedford,Bedford
66,before,avant
67,beggar,mendiant
68,begin,commencer
69,behalf,nom
70,behind,derrière
71,behold,voir
72,being,étant
73,believe,croyez
74,belike,être comme
75,below,au dessous de
76,benefit,avantage
77,besides,outre
78,betray,trahir
79,better,mieux
80,between,entre
81,beyond,au-delà
82,birth,naissance
83,bishop,évêque
84,bitter,amer
85,black,noir
86,blame,faire des reproches
87,bless,bénir
88,blessing,bénédiction
89,blest,heureux
90,blind,aveugle
91,blood,du sang
92,blows,coups
93,blunt,cru
94,blush,rougir
95,bodies,corps
96,bones,des os
97,borne,supporté
98,bottom,bas
99,bought,acheté
100,bound,lié
101,bounty,prime
102,brain,cerveau
103,brains,cerveaux
104,brave,courageux
105,breast,Sein
106,breath,souffle
107,breed,race
108,brief,bref
109,bright,brillant
110,bring,apporter
111,broke,cassé
112,brook,ruisseau
113,brother,frère
114,brought,apporté
115,brows,sourcils
116,burden,fardeau
117,buried,enterré
118,burning,brûlant
119,business,Entreprise
120,cannot,ne peux pas
121,capitol,Capitole
122,captain,capitaine
123,cardinal,cardinal
124,cares,se soucie
125,carry,porter
126,castle,Château
127,catch,capture
128,cause,cause
129,cease,cesser
130,certain,certain
131,chain,chaîne
132,chair,chaise
133,challenge,défi
134,chamber,chambre
135,chance,chance
136,change,changement
137,charge,charge
138,charity,charité
139,chaste,chaste
140,cheek,joue
141,cheer,acclamation
142,chide,gronder
143,chief,chef
144,child,enfant
145,choice,choix
146,church,église
147,cinna,cinna
148,citizen,citoyenne
149,civil,civil
150,claim,prétendre
151,clarence,clarté
152,claud,claud
153,claudio,Claudio
154,clear,clair
155,clifford,Clifford
156,close,proche
157,cloten,cailloter
158,clothes,vêtements
159,clouds,des nuages
160,clown,pitre
161,college,Université
162,colour,Couleur
163,comes,vient
164,comfort,confort
165,coming,venir
166,cominius,cominius
167,command,commander
168,commanded,commandé
169,commend,saluer
170,commercial,commercial
171,commission,commission
172,commit,commettre
173,common,commun
174,companion,un compagnon
175,company,entreprise
176,complete,Achevée
177,complexion,complexion
178,condition,état
179,conduct,conduite
180,confess,avouer
181,conscience,conscience
182,consent,consentement
183,consider,considérer
184,constable,gendarme
185,constant,constant
186,contempt,mépris
187,content,contenu
188,contrary,contraire
189,copies,copies
190,copyright,droits d'auteur
191,could,pourrait
192,council,conseil
193,counsel,Conseil
194,count,compter
195,counterfeit,contrefaire
196,countess,comtesse
197,country,pays
198,courage,courage
199,course,cours
200,court,tribunal
201,courtesy,courtoisie
202,cousin,cousin
203,coward,lâche
204,crave,demander
205,creature,créature
206,credit,crédit
207,cromwell,Cromwell
208,cross,traverser
209,crown,couronne
210,cruel,cruel
211,cunning,ruse
212,cupid,Cupidon
213,curse,malédiction
214,custom,Douane
215,dagger,dague
216,damned,damné
217,dance,Danse
218,danger,danger
219,darkness,obscurité
220,daughter,fille
221,deadly,mortel
222,dearest,très cher
223,dearly,chèrement
224,death,décès
225,deeds,actes
226,defend,défendre
227,degree,diplôme
228,delight,délice
229,deliver,livrer
230,demand,demande
231,denied,refusé
232,depart,partir
233,desert,désert
234,deserve,mériter
235,desire,le désir
236,despair,désespoir
237,desperate,désespéré
238,despite,malgré
239,device,dispositif
240,devil,diable
241,devise,concevoir
242,didst,didst
243,dinner,dîner
244,discourse,discours
245,discover,découvrir
246,disgrace,disgrâce
247,dishonour,déshonorer
248,dispatch,envoi
249,displeasure,mécontentement
250,disposition,disposition
251,distributed,distribué
252,divine,Divin
253,doctor,docteur
254,doing,Faire
255,dolabella,Dolabella
256,doors,des portes
257,double,double
258,doubt,doute
259,download,Télécharger
260,dramatis,dramatis
261,drawn,tiré
262,dread,crainte
263,dreadful,horrible
264,dream,rêver
265,dreams,rêves
266,drink,boisson
267,drops,gouttes
268,drown,noyer
269,drums,tambours
270,drunk,ivre
271,duncan,Duncan
272,durst,durst
273,dwell,habiter
274,dying,en train de mourir
275,early,de bonne heure
276,earth,Terre
277,edmund,Edmund
278,effect,effet
279,egypt,Egypte
280,either,Soit
281,elbow,coude
282,elder,aîné
283,embrace,embrasse
284,emilia,Émilie
285,emperor,empereur
286,empty,vide
287,encounter,rencontre
288,endure,supporter
289,enemies,ennemis
290,enemy,ennemi
291,enjoy,prendre plaisir
292,enobarbus,énobarbus
293,enough,assez
294,enter,entrer
295,entertain,divertir
296,entertainment,divertissement
297,entreat,supplier
298,equal,égal
299,estate,biens
300,eternal,éternel
301,every,chaque
302,everything,tout
303,excellent,excellent
304,except,sauf
305,excuse,excuse
306,execution,exécution
307,exeter,Exeter
308,exeunt,sortir
309,express,Express
310,faces,visages
311,faint,perdre connaissance
312,fairy,Fée
313,faith,Foi
314,falls,des chutes
315,false,faux
316,familiar,familier
317,fancy,fantaisie
318,farewell,adieu
319,farther,plus loin
320,fashion,mode
321,fatal,fatal
322,father,père
323,fault,faute
324,favour,favoriser
325,fearful,craintif
326,fears,peurs
327,feast,le banquet
328,feeble,faible
329,fellow,compagnon
330,fenton,Fenton
331,ferdinand,Ferdinand
332,fetch,chercher
333,field,champ
334,fiend,démon
335,fierce,féroce
336,fiery,ardent
337,fight,bats toi
338,figure,figure
339,finds,trouve
340,finger,doigt
341,first,première
342,flatter,flatter
343,flesh,la chair
344,flies,mouches
345,flight,vol
346,flood,inonder
347,flourish,fleurir
348,flower,fleur
349,flowers,fleurs
350,follow,suivre
351,folly,folie
352,foolish,insensé
353,fools,imbéciles
354,forbear,ancêtre
355,forbid,interdire
356,force,Obliger
357,forces,les forces
358,forest,forêt
359,forget,oublier
360,former,ancien
361,forsooth,en vérité
362,forth,en avant
363,fortune,fortune
364,forward,vers l'avant
365,fought,combattu
366,found,a trouvé
367,fourth,Quatrième
368,frame,Cadre
369,france,France
370,freely,librement
371,french,français
372,fresh,Frais
373,friend,ami
374,frown,froncer les sourcils
375,fruit,fruit
376,further,plus loin
377,gallant,galant
378,garden,jardin
379,gates,portes
380,gaunt,décharné
381,general,général
382,gentle,doux
383,ghost,fantôme
384,given,donné
385,giving,donnant
386,glass,verre
387,glorious,glorieux
388,glory,gloire
389,going,Aller
390,golden,d'or
391,goodness,la bonté
392,gower,gower
393,grace,la grâce
394,grant,subvention
395,grave,la tombe
396,great,génial
397,green,vert
398,greet,saluer
399,grief,douleur
400,grieve,pleurer
401,gross,brut
402,ground,sol
403,grown,grandi
404,guard,garde
405,guess,devine
406,guilty,coupable
407,habit,habitude
408,hands,mains
409,hanging,pendaison
410,hangs,bloque
411,happiness,bonheur
412,happy,heureux
413,haste,hâte
414,hateful,odieux
415,having,ayant
416,hazard,danger
417,heads,têtes
418,health,santé
419,heard,entendu
420,heart,cœur
421,heaven,paradis
422,heavy,lourd
423,hector,Hector
424,heels,talons
425,hence,Par conséquent
426,henceforth,désormais
427,hereafter,"ci-après, par la suite"
428,herself,se
429,highness,altesse
430,holds,tient
431,hollow,creux
432,honest,honnête
433,horse,cheval
434,hostess,hôtesse
435,hours,heures
436,house,maison
437,hubert,Hubert
438,humble,humble
439,humour,humour
440,hundred,cent
441,husband,mari
442,ignorant,ignorant
443,image,image
444,includes,comprend
445,indeed,En effet
446,infinite,infini
447,innocent,innocent
448,instant,instant
449,intend,avoir l'intention
450,intent,intention
451,issue,problème
452,itself,lui-même
453,jealous,jaloux
454,jewel,bijou
455,judge,juge
456,judgment,jugement
457,julia,Julia
458,justice,Justice
459,keeps,garde
460,kindness,la gentillesse
461,kingdom,Royaume
462,kings,rois
463,knave,fripon
464,kneel,s'agenouiller
465,knees,les genoux
466,knife,couteau
467,knight,Chevalier
468,knock,frappe
469,knowing,connaissance
470,knowledge,connaissance
471,known,connu
472,knows,sait
473,labour,la main d'oeuvre
474,ladies,Dames
475,ladyship,Madame
476,lands,terres
477,large,grand
478,laugh,rire
479,launce,lancer
480,lawful,légitime
481,learn,apprendre
482,learned,appris
483,least,moins
484,leave,laisser
485,leisure,loisir
486,leontes,leontes
487,letter,lettre
488,liberty,liberté
489,library,bibliothèque
490,liege,Liege
491,lieutenant,lieutenant
492,light,lumière
493,limbs,membres
494,little,peu
495,lives,vies
496,living,vivant
497,longer,plus long
498,looks,regards
499,loose,ample
500,lords,seigneurs
501,lordship,seigneurie
502,lorenzo,Lorenzo
503,lovely,charmant
504,lovers,les amoureux
505,loves,aime
506,loving,aimant
507,lucentio,Lucentio
508,machine,machine
509,madness,la démence
510,maiden,jeune fille
511,maids,servantes
512,maintain,maintenir
513,majesty,majesté
514,makes,fait du
515,making,fabrication
516,malice,malice
517,manner,manière
518,march,Mars
519,marcius,Marcius
520,marcus,Marcus
521,margaret,margaret
522,maria,maria
523,mariana,Mariana
524,marriage,mariage
525,marry,marier
526,master,Maître
527,match,rencontre
528,matter,matière
529,meaning,sens
530,means,veux dire
531,meant,signifiait
532,measure,mesure
533,meeting,réunion
534,membership,adhésion
535,memory,Mémoire
536,merchant,marchande
537,mercy,pitié
538,merit,mérite
539,merry,joyeux
540,messenger,Messager
541,midnight,minuit
542,might,pourrait
543,mighty,puissant
544,milan,Milan
545,minds,esprits
546,minister,ministre
547,miranda,Miranda
548,mirth,gaieté
549,mischief,sottises
550,misery,misère
551,mistake,erreur
552,mistress,maîtresse
553,modest,modeste
554,money,argent
555,monster,monstre
556,month,mois
557,morning,Matin
558,morrow,demain
559,mortal,mortel
560,mother,mère
561,motion,mouvement
562,mouth,bouche
563,mowbray,mowbray
564,murder,meurtre
565,murther,aller plus loin
566,music,la musique
567,myself,moi même
568,naked,nu
569,names,des noms
570,native,originaire de
571,natural,Naturel
572,nature,la nature
573,needs,Besoins
574,neighbour,voisine
575,neither,ni
576,never,jamais
577,niece,nièce
578,night,nuit
579,noble,noble
580,noise,bruit
581,nothing,rien
582,nought,néant
583,number,nombre
584,nurse,infirmière
585,oaths,serments
586,obedience,obéissance
587,oberon,Oberon
588,object,objet
589,occasion,occasion
590,offence,infraction
591,offend,offenser
592,offer,offre
593,office,Bureau
594,often,souvent
595,oliver,oliver
596,opinion,opinion
597,order,ordre
598,orlando,orlando
599,other,autre
600,others,autres
601,ourselves,nous-mêmes
602,outward,vers l'extérieur
603,oxford,Oxford
604,padua,Padoue
605,pains,des douleurs
606,painted,peint
607,painter,peintre
608,palace,palais
609,pandarus,Pandarus
610,paper,papier
611,pardon,pardon
612,paris,Paris
613,parolles,parolles
614,parted,séparé
615,particular,particulier
616,partly,partiellement
617,parts,les pièces
618,party,fête
619,passage,passage
620,passion,la passion
621,patience,la patience
622,patient,patient
623,paulina,paulina
624,peace,paix
625,pedro,pedro
626,people,gens
627,perceive,apercevoir
628,percy,Percy
629,perfect,parfait
630,perhaps,peut-être
631,peril,péril
632,permission,autorisation
633,person,la personne
634,personal,personnel
635,phebe,phebe
636,philip,Philippe
637,picture,image
638,piece,pièce
639,pistol,pistolet
640,place,endroit
641,plague,peste
642,plain,plaine
643,plead,plaider
644,please,S'il vous plaît
645,pleasure,plaisir
646,pluck,cueillir
647,poins,poins
648,point,point
649,poison,poison
650,policy,politique
651,polixenes,polixènes
652,pompey,pompey
653,porter,porter
654,possible,possible
655,posthumus,posthume
656,pound,livre
657,power,Puissance
658,practice,entraine toi
659,praise,louange
660,prayers,prières
661,precious,précieux
662,prepare,préparer
663,presence,présence
664,present,présent
665,pretty,jolie
666,pride,fierté
667,priest,prêtre
668,prince,prince
669,prison,prison
670,private,privé
671,prize,prix
672,proceed,procéder
673,proclaim,proclamer
674,profit,profit
675,prohibited,interdit
676,project,projet
677,prologue,prologue
678,promise,promettre
679,proof,preuve
680,proper,correct
681,protector,protecteur
682,protest,manifestation
683,proud,fier
684,prove,prouver
685,provided,à condition de
686,public,Publique
687,purpose,objectif
688,purse,bourse
689,quality,qualité
690,quarrel,querelle
691,queen,reine
692,question,question
693,quick,rapide
694,quiet,silencieux
695,quite,assez
696,quoth,quoth
697,raise,élever
698,ransom,une rançon
699,rascal,coquin
700,rather,plutôt
701,readable,lisible
702,ready,prêt
703,realm,domaine
704,reason,raison
705,receive,recevoir
706,regard,qui concerne
707,reign,règne
708,reignier,règne
709,remain,rester
710,remedy,remède
711,remember,rappelles toi
712,render,rendre
713,repair,réparation
714,repent,se repentir
715,report,rapport
716,reputation,réputation
717,request,demande
718,respect,le respect
719,return,revenir
720,revenge,vengeance
721,reverence,révérence
722,revolt,révolte
723,right,droite
724,rivers,rivières
725,rogue,coquin
726,rotten,pourri
727,rough,rugueux
728,round,rond
729,royal,Royal
730,sacred,sacré
731,safety,sécurité
732,saint,Saint
733,salerio,salerio
734,satisfied,satisfait
735,saying,en disant
736,scarce,rare
737,scene,scène
738,scorn,mépris
739,search,chercher
740,season,saison
741,second,seconde
742,secret,secret
743,seeing,voyant
744,senate,sénat
745,senator,sénateur
746,sense,sens
747,sentence,phrase
748,servant,serviteur
749,serve,servir
750,service,un service
751,seven,Sept
752,several,nombreuses
753,shadow,ombre
754,shake,secouer
755,shall,doit
756,shame,la honte
757,shape,forme
758,sharp,tranchant
759,shepherd,berger
760,shine,éclat
761,shore,rive
762,short,court
763,shortly,prochainement
764,should,devrait
765,shows,montre
766,sickness,maladie
767,sight,vue
768,silence,silence
769,silver,argent
770,simple,Facile
771,since,depuis
772,single,Célibataire
773,sirrah,sirrah
774,sister,sœur
775,skill,compétence
776,slain,tué
777,slander,calomnie
778,slave,esclave
779,sleep,sommeil
780,slender,mince
781,small,petit
782,smell,odeur
783,smile,sourire
784,soldier,soldat
785,solemn,solennel
786,somerset,somerset
787,something,quelque chose
788,sometime,parfois
789,sooner,plus tôt
790,soothsayer,devin
791,sorrow,chagrin
792,sorry,Pardon
793,sought,recherché
794,souls,âmes
795,sound,du son
796,sovereign,souverain
797,spare,de rechange
798,speak,parler
799,speaks,parle
800,special,spécial
801,speech,discours
802,speed,la vitesse
803,spend,dépenser
804,spirit,esprit
805,spite,dépit
806,spoke,parlait
807,sport,sport
808,spring,printemps
809,staff,Personnel
810,stain,tache
811,stand,supporter
812,stars,étoiles
813,state,Etat
814,steal,voler
815,steel,acier
816,steward,intendant
817,still,encore
818,stomach,estomac
819,stone,calcul
820,stood,se tenait
821,store,boutique
822,storm,orage
823,story,récit
824,straight,tout droit
825,strange,étrange
826,street,rue
827,strength,force
828,strike,la grève
829,stroke,accident vasculaire cérébral
830,strong,fort
831,struck,frappé
832,study,étude
833,stuff,des trucs
834,subject,matière
835,substance,substance
836,success,Succès
837,sudden,soudain
838,suddenly,tout à coup
839,suffer,souffrir
840,suffolk,suffolk
841,summer,été
842,supper,souper
843,surely,sûrement
844,surrey,Surrey
845,suspect,suspect
846,swear,jurer
847,sweat,transpiration
848,sweet,sucré
849,swift,rapide
850,sword,épée
851,swore,juré
852,sworn,juré
853,syracuse,Syracuse
854,table,table
855,tailor,tailleur
856,taken,pris
857,talbot,talbot
858,tarry,goudronneux
859,taste,goût
860,taught,enseigné
861,teach,enseigner
862,tears,larmes
863,tedious,fastidieux
864,teeth,les dents
865,tells,raconte
866,tempest,tempête
867,tender,soumissionner
868,terms,termes
869,thank,remercier
870,their,leur
871,themselves,se
872,there,Là
873,therefore,par conséquent
874,therein,la bride
875,these,celles-ci
876,thief,voleur
877,thing,chose
878,think,pense
879,third,troisième
880,thomas,Thomas
881,those,ceux
882,though,bien que
883,thought,pensée
884,thrive,prospérer
885,throat,gorge
886,throne,trône
887,through,par
888,throw,jeter
889,thrust,poussée
890,thunder,tonnerre
891,times,fois
892,title,Titre
893,together,ensemble
894,tongue,langue
895,tonight,ce soir
896,touch,toucher
897,toward,vers
898,tower,la tour
899,train,train
900,traitor,traitre
901,tread,bande de roulement
902,treason,trahison
903,treasure,Trésor
904,trial,procès
905,tribunes,tribunes
906,trick,tour
907,triumph,triomphe
908,trouble,difficulté
909,truly,vraiment
910,trumpet,trompette
911,trust,confiance
912,truth,vérité
913,turns,se tourne
914,twice,deux fois
915,tyrant,tyran
916,ulysses,Ulysse
917,uncle,oncle
918,under,sous
919,understand,comprendre
920,undertake,entreprendre
921,undone,défait
922,unhappy,malheureux
923,unknown,inconnue
924,unless,sauf si
925,until,jusqu'à
926,unworthy,indigne
927,utter,prononcer
928,valentine,Valentin
929,valiant,vaillant
930,valour,valeur
931,vantage,avantage
932,vengeance,vengeance
933,venice,venise
934,version,version
935,victory,la victoire
936,villain,scélérat
937,viola,alto
938,violent,violent
939,virtue,vertu
940,visit,visite
941,voice,voix
942,walls,des murs
943,warlike,guerrier
944,warrant,mandat
945,waste,déchets
946,watch,regarder
947,water,eau
948,wealth,richesse
949,weapons,armes
950,weary,se lasser
951,weeds,mauvaises herbes
952,weeping,larmes
953,weight,poids
954,welcome,Bienvenue
955,wench,jeune fille
956,whence,d'où
957,where,où
958,wherein,où
959,whether,qu'il s'agisse
960,which,lequel
961,while,tandis que
962,whither,où
963,whole,entier
964,whore,putain
965,whose,dont
966,widow,veuve
967,willing,prêt
968,window,la fenêtre
969,wings,ailes
970,winter,hiver
971,wisdom,sagesse
972,witch,sorcière
973,withal,avec
974,within,dans
975,without,sans pour autant
976,witness,témoin
977,wives,épouses
978,wolsey,Wolsey
979,woman,femme
980,wonder,merveille
981,works,travaux
982,world,monde
983,worse,pire
984,worship,culte
985,worth,vaut
986,would,aurait
987,wound,blessure
988,wounded,blessés
989,wrath,colère
990,wretch,misérable
991,write,écrire
992,written,écrit
993,wrong,faux
994,wrought,forgé
995,yield,rendement
996,yonder,là-bas
997,young,Jeune
998,yours,le tiens
999,yourself,toi même
1000,youth,jeunesse
